timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
239889601, 3.17, 5.75e-08, 3.39e-08, 3.97, 3.32, 1e-08, 102
240494401, 1.1, 2.64e-08, 8.05e-08, 3.04, 7.41, 1e-08, 102
242308801, 4.48, 6.01e-08, 3.04e-08, 3.56, 2.88, 1e-08, 102
244728001, 1.28, 3.82e-08, 3.71e-08, 3.1, 5.22, 1e-08, 102
245332801, 3.11, 5.49e-08, 4.64e-07, 6.74, 3.14, 1e-08, 102
247752001, 5.27, 2.37e-08, 2.3e-08, 2.1, 0.55, 1e-08, 0
248961601, 2.82, 5.33e-08, 4.31e-07, 6.73, 3, 1e-08, 102
250171201, 15.26, 4.02e-09, 3.18e-09, 0.97, 0.43, 1e-08, 0
251985601, 5.84, 3.31e-09, 5.53e-09, 1.39, 0.72, 1e-08, 0
252590401, 3.67, 4.68e-08, 4.31e-08, 3.12, 3.66, 1e-08, 102
253195201, 3.33, 4.58e-08, 5.74e-08, 2.96, 3.97, 1e-08, 102
253800001, 3.75, 1.65e-08, 1.58e-08, 1.84, 0.53, 1e-08, 0
254404801, 9.02, 3.18e-09, 4.49e-09, 1.19, 0.65, 1e-08, 0
255614401, 2.14, 3.69e-09, 6.16e-09, 1.52, 0.71, 1e-08, 0
256824001, 3.74, 2.87e-09, 3.45e-09, 1.26, 0.66, 1e-08, 0
259243201, 4.44, 6.42e-08, 4.07e-08, 3.19, 3.23, 1e-08, 102
261057601, 10.69, 1.2e-08, 9.3e-09, 1.63, 0.34, 1e-08, 0
261662401, 3.03, 3.71e-08, 4.2e-08, 2.85, 4.21, 1e-08, 102
262267201, 9.56, 2.39e-08, 2.41e-08, 2.12, 0.56, 1e-08, 0
262872001, 6.99, 1.62e-08, 1.32e-08, 1.93, 0.46, 1e-08, 0
263476801, 1.54, 1.75e-08, 1.99e-08, 1.98, 0.55, 1e-08, 0
265291201, 3.63, 5.99e-09, 8.83e-09, 1.51, 0.54, 1e-08, 0
265896001, 2.04, 3.59e-08, 2.99e-08, 2.92, 0.94, 1e-08, 0
267710401, 5.46, 7.86e-08, 3.74e-08, 5.05, 2.56, 1e-08, 102
269524801, 4.89, 2.06e-08, 2.32e-08, 1.76, 0.59, 1e-08, 0
270734401, 17.18, 9.8e-09, 1e-08, 1.53, 0.44, 1e-08, 0
271339201, 9.75, 2.19e-08, 2.36e-08, 1.91, 0.57, 1e-08, 0
273758401, 6.71, 8.34e-08, 4.48e-08, 2.71, 0.61, 1e-08, 0
274968001, 8.43, 4.02e-08, 2.85e-08, 2.34, 0.52, 1e-08, 0
276177601, 3.95, 3.68e-08, 3.91e-08, 2.43, 0.97, 1e-08, 0
277992001, 5.39, 1.25e-07, 6.21e-08, 4.3, 2.61, 1e-08, 102
279201601, 4.01, 4.15e-08, 3.24e-08, 2.75, 0.84, 1e-08, 0
280411201, 5.49, 3.77e-09, 7.04e-09, 1.45, 0.81, 1e-08, 0
281016001, 2.28, 2.78e-08, 3.49e-08, 2.18, 0.7, 1e-08, 0
281620801, 14.61, 1.73e-09, 1.74e-09, 0.26, 0.9, 1e-08, 0
282225601, 23.07, 1.29e-08, 9.8e-09, 1.32, 0.36, 1e-08, 0
282830401, 2.96, 9.04e-08, 5.55e-08, 4.25, 3.37, 1e-08, 102
283435201, 5.27, 2.57e-08, 2.39e-08, 2.06, 0.48, 1e-08, 0
285249601, 4.74, 5.5e-09, 6.2e-09, 1.5, 0.53, 1e-08, 0
287668801, 5.28, 3.53e-08, 2.7e-08, 2.13, 0.44, 1e-08, 0
288273601, 6.84, 2.5e-08, 3.61e-08, 2.09, 0.77, 1e-08, 0
289483201, 2.22, 2.56e-08, 2.19e-08, 2.55, 0.85, 1e-08, 0
290088001, 3.36, 7.83e-09, 1.14e-08, 1.48, 0.64, 1e-08, 0
290692801, 1.43, 5.38e-08, 4.84e-08, 3.65, 4.94, 1e-08, 102
291297601, 1.35, 5.13e-08, 1.06e-07, 5.07, 0.45, 1e-08, 1
293112001, 3.72, 3.95e-09, 6.83e-09, 1.41, 0.74, 1e-08, 0
293716801, 1.29, 8.36e-09, 1.29e-08, 1.83, 0.73, 1e-08, 0
295531201, 2.03, 3.94e-08, 3.79e-08, 2.63, 0.73, 1e-08, 0
296740801, 8.05, 1.55e-08, 1.38e-08, 1.74, 0.42, 1e-08, 0
297345601, 3.17, 4.22e-08, 3.06e-08, 2.58, 0.64, 1e-08, 0
297950401, 8.92, 7.75e-09, 9.47e-09, 1.59, 0.51, 1e-08, 0
298555201, 4.46, 5.61e-08, 2.86e-08, 3.49, 2.98, 1e-08, 102
299160001, 9.31, 3.18e-08, 2.14e-08, 1.98, 0.37, 1e-08, 0
299764801, 4.29, 9.21e-08, 5.71e-08, 3.51, 3.09, 1e-08, 102
300369601, 2.51, 2e-08, 2.35e-08, 2.12, 0.64, 1e-08, 0
300974401, 1.09, 2.65e-08, 4.25e-08, 2.77, 1.23, 1e-08, 0
301579201, 26.22, 7.13e-09, 4.89e-09, 1.04, 0.36, 1e-08, 0
302184001, 3.27, 5.91e-08, 5.18e-08, 3.16, 3.78, 1e-08, 102
302788801, 7.9, 1.81e-08, 1.37e-08, 1.84, 0.39, 1e-08, 0
303393601, 5.75, 2.88e-09, 4.68e-09, 1.32, 0.74, 1e-08, 0
305812801, 4.41, 4.83e-08, 3.71e-08, 2.43, 0.51, 1e-08, 0
307627201, 1.4, 1.6e-08, 1.93e-08, 2.27, 0.81, 1e-08, 0
308232001, 1.73, 2.41e-08, 3.23e-08, 2.36, 1.26, 1e-08, 0
308836801, 2.38, 3.36e-09, 4.2e-09, 1.12, 0.59, 1e-08, 0
309441601, 10.03, 1.14e-08, 1.23e-08, 1.58, 0.5, 1e-08, 0
310046401, 1.82, 3.99e-09, 5.97e-09, 1.4, 0.65, 1e-08, 0
310651201, 3.86, 9.52e-09, 1.17e-08, 1.54, 0.54, 1e-08, 0
311860801, 4.41, 3.95e-08, 2.82e-08, 2.65, 0.78, 1e-08, 0
312465601, 12.19, 4.48e-08, 2.29e-08, 2.07, 0.31, 1e-08, 0
313675201, 10.51, 3.88e-08, 4.37e-08, 1.98, 0.61, 1e-08, 0
314280001, 10.46, 2.6e-09, 3.16e-09, 0.81, 0.75, 1e-08, 0
314884801, 13.6, 4.39e-08, 2.57e-08, 1.88, 0.32, 1e-08, 0
315489601, 5.39, 2.91e-08, 2.26e-08, 1.86, 0.42, 1e-08, 0
316699201, 1.59, 2.86e-08, 5.53e-08, 2.64, 5.96, 1e-08, 102
317304001, 4.72, 1.84e-08, 2.08e-08, 2.12, 0.58, 1e-08, 0
317908801, 2.15, 5.82e-08, 5.56e-08, 3.56, 4.3, 1e-08, 102
319118401, 5.9, 6.75e-08, 4.94e-08, 2.47, 0.55, 1e-08, 0
319723201, 14.59, 3.18e-08, 3.39e-08, 1.89, 0.51, 1e-08, 0
320932801, 15.35, 3.3e-08, 1.92e-08, 1.93, 0.32, 1e-08, 0
321537601, 17.5, 1.08e-08, 9.01e-09, 1.49, 0.36, 1e-08, 0
323352001, 7.46, 2.02e-08, 1.76e-08, 1.89, 0.46, 1e-08, 0
323956801, 11.65, 4.45e-08, 5.2e-08, 2.08, 0.59, 1e-08, 0
324561601, 4.47, 1.33e-08, 1.59e-08, 1.97, 0.53, 1e-08, 0
325771201, 7.87, 5.48e-08, 2.96e-08, 2.55, 0.44, 1e-08, 0
326980801, 2.68, 5.87e-08, 3.79e-08, 4.64, 3.56, 1e-08, 102
328795201, 2.41, 1.02e-08, 1.33e-08, 1.66, 0.62, 1e-08, 0
329400001, 2.36, 6.92e-08, 4.78e-08, 5.03, 3.81, 1e-08, 102
