timestamp, ts, flux, flux_error, photon_index, photon_index_interval, fit_tolerance, fit_convergence
241704001, 6.11, 2.73e-08, 1.91e-08, 1.99, 0.36, 1e-08, 0
243518401, 2.92, 1.54e-08, 1.74e-08, 1.99, 0.58, 1e-08, 0
244728001, 6.24, 1.07e-08, 8.28e-09, 1.44, 0.32, 1e-08, 0
246542401, 1.96, 2.21e-09, 3.97e-09, 1.43, 0.76, 1e-08, 0
247752001, 2.49, 5.79e-08, 4.3e-08, 2.81, 0.73, 1e-08, 0
248356801, 1.91, 4.93e-08, 4.13e-08, 2.91, 0.72, 1e-08, 0
250171201, 2.16, 2.34e-08, 2.8e-08, 2.49, 0.72, 1e-08, 0
251985601, 1.03, 3.11e-08, 5.15e-08, 2.65, 4.16, 1e-08, 0
253195201, 5.83, 4.49e-08, 2.93e-08, 2.25, 0.45, 1e-08, 0
256219201, 2.25, 4.48e-08, 3.4e-08, 2.87, 0.53, 1e-08, 0
256824001, 1.59, 4.89e-08, 4.3e-08, 2.96, 0.76, 1e-08, 0
259848001, 4.71, 6.45e-08, 3.94e-08, 2.84, 0.53, 1e-08, 0
263476801, 6.89, 5.91e-08, 4.17e-08, 2.48, 0.51, 1e-08, 0
264081601, 5.9, 4.82e-08, 3.88e-08, 2.37, 0.56, 1e-08, 0
267105601, 5.15, 1.86e-09, 2.1e-09, 0.88, 0.67, 1e-08, 0
270129601, 1.79, 1.83e-09, 3.4e-09, 1.27, 0.85, 1e-08, 0
275572801, 2.59, 8.35e-09, 1.1e-08, 1.71, 0.57, 1e-08, 0
276782401, 1.57, 5.26e-08, 4.75e-08, 3.26, 0.9, 1e-08, 0
279201601, 9.96, 1.69e-09, 1.91e-09, 0.78, 0.71, 1e-08, 0
280411201, 2.03, 4.56e-08, 3.91e-08, 2.68, 0.65, 1e-08, 0
281016001, 2.64, 6.06e-08, 4.45e-08, 3.07, 0.88, 1e-08, 0
283435201, 1.24, 4.93e-08, 4.99e-08, 3.35, 0.96, 1e-08, 0
284644801, 1.33, 6.47e-09, 1.03e-08, 1.37, 0.82, 1e-08, 0
285249601, 5.44, 9.09e-08, 5.13e-08, 3.21, 0.76, 1e-08, 0
287064001, 2.56, 8.58e-08, 6.22e-08, 3.39, 0.98, 1e-08, 0
288273601, 3.28, 5.71e-08, 4.8e-08, 2.52, 0.61, 1e-08, 0
289483201, 1.51, 1.46e-08, 1.68e-08, 1.86, 0.48, 1e-08, 0
290692801, 2.22, 3.98e-08, 4.69e-08, 2.34, 0.93, 1e-08, 0
293112001, 2.29, 7.24e-09, 1.1e-08, 1.52, 0.64, 1e-08, 0
293716801, 4.65, 4.69e-08, 4.05e-08, 2.31, 0.55, 1e-08, 0
295531201, 8.59, 4.41e-08, 3.91e-08, 2.06, 0.46, 1e-08, 0
296136001, 18.67, 9.46e-08, 4.32e-08, 2.42, 0.3, 1e-08, 0
296740801, 1.54, 2.13e-08, 2.38e-08, 2.19, 0.54, 1e-08, 0
299764801, 4.04, 1.08e-08, 1.79e-08, 1.82, 0.72, 1e-08, 0
300369601, 2.45, 4.17e-08, 3.86e-08, 2.49, 0.6, 1e-08, 0
300974401, 4.15, 2.98e-09, 4.69e-09, 1.29, 0.72, 1e-08, 0
301579201, 1.3, 6.4e-09, 1.05e-08, 1.73, 0.7, 1e-08, 0
302788801, 4.33, 1.43e-08, 1.68e-08, 1.84, 0.55, 1e-08, 0
305812801, 8.95, 5.59e-09, 7.03e-09, 1.39, 0.53, 1e-08, 0
307627201, 11.89, 4.92e-08, 4.73e-08, 2.15, 0.51, 1e-08, 0
309441601, 11.68, 4.33e-08, 2.42e-08, 1.85, 0.29, 1e-08, 0
310046401, 6.43, 1.25e-07, 5.7e-08, 3.39, 0.73, 1e-08, 0
311256001, 5.09, 5.73e-09, 5.76e-09, 1.28, 0.47, 1e-08, 0
312465601, 1.85, 2.66e-08, 2.86e-08, 2.34, 0.69, 1e-08, 0
313070401, 1.89, 6.04e-08, 4.98e-08, 3.35, 0.95, 1e-08, 0
313675201, 3.91, 1.03e-08, 1.91e-08, 1.56, 0.78, 1e-08, 0
314884801, 3.39, 2.05e-08, 2.67e-08, 1.98, 0.64, 1e-08, 0
315489601, 5.45, 9.3e-08, 4.61e-08, 3.31, 0.79, 1e-08, 0
316699201, 2.4, 8.84e-09, 1.29e-08, 1.67, 0.57, 1e-08, 0
317908801, 6.06, 5.39e-08, 3.8e-08, 2.28, 0.46, 1e-08, 0
323956801, 1.04, 9.26e-09, 1.55e-08, 2.03, 0.76, 1e-08, 0
324561601, 3.96, 1.2e-07, 7.3e-08, 3.12, 0.74, 1e-08, 0
327585601, 6.65, 8.91e-08, 5.98e-08, 2.89, 0.73, 1e-08, 0
328190401, 2.95, 1.39e-08, 2.02e-08, 1.81, 0.65, 1e-08, 0
331214401, 2.53, 4.79e-08, 3.66e-08, 2.6, 0.53, 1e-08, 0
331819201, 6.63, 3.56e-08, 2.69e-08, 2.14, 0.44, 1e-08, 0
333028801, 4.77, 1.08e-07, 6.02e-08, 2.94, 0.55, 1e-08, 0
336052801, 1.3, 6.25e-09, 9.34e-09, 1.68, 0.69, 1e-08, 0
339076801, 3.77, 2.31e-08, 3.23e-08, 1.97, 0.63, 1e-08, 0
341496001, 4.32, 1.49e-09, 1.56e-09, 0.3, 0.79, 1e-08, 0
342100801, 1.3, 3.86e-08, 4.01e-08, 2.52, 0.6, 1e-08, 0
343310401, 1.06, 2.62e-08, 3.31e-08, 2.36, 0.79, 1e-08, 0
348753601, 1.86, 4.8e-08, 4.08e-08, 2.73, 0.63, 1e-08, 0
351777601, 6.42, 1.01e-07, 5.21e-08, 3.22, 0.76, 1e-08, 0
352987201, 1.16, 1.91e-08, 3.21e-08, 2.43, 1.04, 1e-08, 0
355406401, 2.66, 7.5e-08, 5.18e-08, 4.32, 1.98, 1e-08, 0
