timestamp, ts, flux_upper_limits, fit_tolerance, fit_convergence
246067201, 0.0, 1.65e-08, 1e-08, 102
248659201, 0.42, 1.48e-08, 1e-08, 0
251251201, 0.01, 1.23e-08, 1e-08, 1
253843201, 0.97, 1.95e-08, 1e-08, 1
259027201, 0.0, 1.06e-08, 1e-08, 0
261619201, 0.5, 8.13e-09, 1e-08, 0
264211201, 0.2, 1.48e-08, 1e-08, 0
266803201, 0.0, 7.91e-09, 1e-08, 102
269395201, 0.0, 1.5e-08, 1e-08, 102
271987201, 0.16, 1.03e-08, 1e-08, 0
274579201, 0.0, 1.48e-08, 1e-08, 102
277171201, 0.78, 2.18e-08, 1e-08, 0
282355201, 0.0, 1.25e-08, 1e-08, 0
284947201, 0.0, 1.11e-08, 1e-08, 0
287539201, 0.0, 8.44e-09, 1e-08, 0
290131201, 0.0, 1.26e-08, 1e-08, 102
292723201, 0.04, 1.12e-08, 1e-08, 0
295315201, 0.0, 1.14e-08, 1e-08, 0
297907201, 0.0, 1.18e-08, 1e-08, 0
300499201, 0.0, 1.08e-08, 1e-08, 102
303091201, 0.0, 1.24e-08, 1e-08, 0
305683201, 0.0, 1.04e-08, 1e-08, 0
310867201, 0.0, 7.79e-09, 1e-08, 102
313459201, 0.05, 1.66e-08, 1e-08, 0
316051201, 0.09, 1.75e-08, 1e-08, 0
318643201, 0.07, 1.09e-08, 1e-08, 0
326419201, 0.0, 1.49e-08, 1e-08, 102
329011201, 0.0, 8.99e-09, 1e-08, 102
331603201, 0.0, 1.55e-08, 1e-08, 102
339379201, 0.0, 1.38e-08, 1e-08, 0
341971201, 0.48, 1.75e-08, 1e-08, 0
344563201, 0.0, 1.01e-08, 1e-08, 0
347155201, 0.65, 1.95e-08, 1e-08, 0
352339201, 0.7, 1.82e-08, 1e-08, 0
357523201, 0.0, 1.23e-08, 1e-08, 102
360115201, 0.0, 9.57e-09, 1e-08, 0
362707201, 0.17, 1.57e-08, 1e-08, 0
365299201, 0.0, 1.24e-08, 1e-08, 0
367891201, 0.19, 1.63e-08, 1e-08, 1
370483201, 0.0, 1.41e-08, 1e-08, 102
373075201, 0.63, 1.57e-08, 1e-08, 0
375667201, 0.03, 1.3e-08, 1e-08, 0
380851201, 0.0, 1.58e-08, 1e-08, 0
391219201, 0.06, 1.35e-08, 1e-08, 0
406771201, 0.13, 1.48e-08, 1e-08, 1
422323201, 0.0, 1.18e-08, 1e-08, 0
427507201, 0.0, 1.44e-08, 1e-08, 0
430099201, 0.51, 1.45e-08, 1e-08, 0
432691201, 0.65, 1.77e-08, 1e-08, 0
435283201, 0.21, 1.73e-08, 1e-08, 102
440467201, 0.0, 1.17e-08, 1e-08, 0
445651201, 0.0, 1.56e-08, 1e-08, 0
461203201, 0.02, 1.57e-08, 1e-08, 0
468979201, 0.0, 1.37e-08, 1e-08, 0
549331201, 0.27, 1.71e-08, 1e-08, 0
567475201, 0.43, 2.15e-08, 1e-08, 0
570067201, 0.0, 1.5e-08, 1e-08, 102
572659201, 0.0, 1.9e-08, 1e-08, 0
598579201, 0.0, 2.04e-08, 1e-08, 0
627091201, 0.0, 1.22e-08, 1e-08, 0
634867201, 0.0, 1.99e-08, 1e-08, 0
647827201, 0.0, 1.92e-08, 1e-08, 0
650419201, 0.0, 1.78e-08, 1e-08, 102
663379201, 0.66, 4.18e-08, 1e-08, 0
665971201, 0.03, 1.39e-08, 1e-08, 1
668563201, 0.0, 1.67e-08, 1e-08, 0
681523201, 0.58, 2.01e-08, 1e-08, 0
689299201, 0.41, 1.7e-08, 1e-08, 0
691891201, 0.09, 1.68e-08, 1e-08, 0
699667201, 0.1, 1.78e-08, 1e-08, 0
702259201, 0.0, 1.23e-08, 1e-08, 102
710035201, 0.0, 1.61e-08, 1e-08, 102
722995201, 0.14, 1.97e-08, 1e-08, 0
730771201, 0.0, 1.13e-08, 1e-08, 101
733363201, 0.85, 1.75e-08, 1e-08, 0
738547201, 0.0, 1.19e-08, 1e-08, 102
